ma_hoa_don,ma_hang,so_luong,don_gia,giam_gia_phan_tram,giam_gia,gia_ban,thanh_tien,thoi_gian
HD000025,SP1083,1,17000,0,0,17000,17000,2026-05-11T00:00:00
HD000025,SP1082,3,51000,0,0,51000,153000,2026-05-11T00:00:00
HD000025,SP1080,5,235000,5,58750,235000,1116250,2026-05-11T00:00:00
HD000026,SP1037,5,99000,0,0,99000,495000,2026-05-05T00:00:00
HD000026,SP1010,4,354000,0,0,354000,1416000,2026-05-05T00:00:00
HD000026,SP1083,5,17000,0,0,17000,85000,2026-05-05T00:00:00
HD000026,SP1012,1,188000,0,0,188000,188000,2026-05-05T00:00:00
HD000027,SP1008,3,366000,0,0,366000,1098000,2026-05-31T00:00:00
HD000027,SP1058,1,304000,0,0,304000,304000,2026-05-31T00:00:00
HD000027,SP1014,2,193000,20,77200,193000,308800,2026-05-31T00:00:00
HD000028,SP1047,4,33000,0,0,33000,132000,2026-05-15T00:00:00
HD000028,SP1048,3,481000,0,0,481000,1443000,2026-05-15T00:00:00
HD000028,SP1037,1,99000,0,0,99000,99000,2026-05-15T00:00:00
HD000029,SP1037,2,99000,0,0,99000,198000,2026-03-17T00:00:00
HD000029,SP1033,5,172000,0,0,172000,860000,2026-03-17T00:00:00
HD000029,SP1093,3,119000,0,0,119000,357000,2026-03-17T00:00:00
HD000029,SP1085,4,203000,5,40600,203000,771400,2026-03-17T00:00:00
HD000029,SP1078,3,100000,0,0,100000,300000,2026-03-17T00:00:00
HD000030,SP1083,4,17000,0,0,17000,68000,2026-04-20T00:00:00
HD000030,SP1086,1,113000,0,0,113000,113000,2026-04-20T00:00:00
HD000031,SP1010,5,354000,0,0,354000,1770000,2026-05-10T00:00:00
HD000031,SP1038,5,236000,15,177000,236000,1003000,2026-05-10T00:00:00
HD000031,SP1013,5,307000,20,307000,307000,1228000,2026-05-10T00:00:00
HD000032,SP1093,4,119000,0,0,119000,476000,2026-04-01T00:00:00
HD000032,SP1057,2,136000,0,0,136000,272000,2026-04-01T00:00:00
HD000032,SP1006,5,173000,0,0,173000,865000,2026-04-01T00:00:00
HD000033,SP1040,3,99000,0,0,99000,297000,2026-05-05T00:00:00
HD000033,SP1061,5,278000,0,0,278000,1390000,2026-05-05T00:00:00
HD000033,SP1025,4,422000,0,0,422000,1688000,2026-05-05T00:00:00
HD000034,SP1026,3,272000,20,163200,272000,652800,2026-05-12T00:00:00
HD000034,SP1078,3,100000,0,0,100000,300000,2026-05-12T00:00:00
HD000034,SP1018,1,449000,0,0,449000,449000,2026-05-12T00:00:00
HD000035,SP1035,2,260000,0,0,260000,520000,2026-03-24T00:00:00
HD000035,SP1058,1,304000,0,0,304000,304000,2026-03-24T00:00:00
HD000035,SP1066,2,94000,0,0,94000,188000,2026-03-24T00:00:00
HD000036,SP1065,3,463000,0,0,463000,1389000,2026-03-12T00:00:00
HD000036,SP1048,3,481000,0,0,481000,1443000,2026-03-12T00:00:00
HD000036,SP1031,3,465000,0,0,465000,1395000,2026-03-12T00:00:00
HD000036,SP1050,2,312000,20,124800,312000,499200,2026-03-12T00:00:00
HD000036,SP1011,2,434000,0,0,434000,868000,2026-03-12T00:00:00
HD000037,SP1003,2,51000,0,0,51000,102000,2026-05-26T00:00:00
HD000037,SP1033,5,172000,0,0,172000,860000,2026-05-26T00:00:00
HD000038,SP1016,5,110000,0,0,110000,550000,2026-05-02T00:00:00
HD000038,SP1007,1,193000,0,0,193000,193000,2026-05-02T00:00:00
HD000038,SP1031,4,465000,0,0,465000,1860000,2026-05-02T00:00:00
HD000038,SP1054,1,255000,0,0,255000,255000,2026-05-02T00:00:00
HD000039,SP1079,2,206000,0,0,206000,412000,2026-03-27T00:00:00
HD000039,SP1046,2,152000,0,0,152000,304000,2026-03-27T00:00:00
HD000040,SP1050,1,312000,0,0,312000,312000,2026-04-24T00:00:00
HD000040,SP1061,3,278000,0,0,278000,834000,2026-04-24T00:00:00
HD000041,SP1099,3,454000,15,204300,454000,1157700,2026-03-17T00:00:00
HD000041,SP1075,5,185000,0,0,185000,925000,2026-03-17T00:00:00
HD000042,SP1081,4,331000,10,132400,331000,1191600,2026-06-04T00:00:00
HD000042,SP1024,1,486000,0,0,486000,486000,2026-06-04T00:00:00
HD000042,SP1018,1,449000,0,0,449000,449000,2026-06-04T00:00:00
HD000042,SP1009,3,416000,0,0,416000,1248000,2026-06-04T00:00:00
HD000042,SP1092,5,139000,0,0,139000,695000,2026-06-04T00:00:00
HD000043,SP1084,3,210000,15,94500,210000,535500,2026-05-30T00:00:00
HD000043,SP1043,4,206000,0,0,206000,824000,2026-05-30T00:00:00
HD000044,SP1064,5,343000,0,0,343000,1715000,2026-04-27T00:00:00
HD000044,SP1089,1,416000,0,0,416000,416000,2026-04-27T00:00:00
HD000044,SP1048,1,481000,0,0,481000,481000,2026-04-27T00:00:00
HD000045,SP1014,3,193000,0,0,193000,579000,2026-04-01T00:00:00
HD000045,SP1011,5,434000,0,0,434000,2170000,2026-04-01T00:00:00
HD000045,SP1042,2,328000,0,0,328000,656000,2026-04-01T00:00:00
HD000045,SP1085,3,203000,0,0,203000,609000,2026-04-01T00:00:00
HD000046,SP1036,4,363000,0,0,363000,1452000,2026-04-23T00:00:00
HD000046,SP1082,2,51000,0,0,51000,102000,2026-04-23T00:00:00
HD000046,SP1008,2,366000,0,0,366000,732000,2026-04-23T00:00:00
HD000046,SP1010,4,354000,5,70800,354000,1345200,2026-04-23T00:00:00
HD000046,SP1086,2,113000,0,0,113000,226000,2026-04-23T00:00:00
HD000047,SP1078,4,100000,0,0,100000,400000,2026-04-27T00:00:00
HD000047,SP1020,3,397000,0,0,397000,1191000,2026-04-27T00:00:00
HD000048,SP1041,1,129000,0,0,129000,129000,2026-03-26T00:00:00
HD000048,SP1084,4,210000,0,0,210000,840000,2026-03-26T00:00:00
HD000048,SP1036,5,363000,15,272250,363000,1542750,2026-03-26T00:00:00
HD000048,SP1032,4,222000,0,0,222000,888000,2026-03-26T00:00:00
HD000048,SP1015,5,412000,0,0,412000,2060000,2026-03-26T00:00:00
HD000049,SP1058,4,304000,0,0,304000,1216000,2026-05-10T00:00:00
HD000049,SP1023,3,150000,0,0,150000,450000,2026-05-10T00:00:00
HD000050,SP1021,2,267000,0,0,267000,534000,2026-05-18T00:00:00
HD000050,SP1092,5,139000,0,0,139000,695000,2026-05-18T00:00:00
HD000050,SP1091,2,315000,0,0,315000,630000,2026-05-18T00:00:00
HD000050,SP1090,2,228000,0,0,228000,456000,2026-05-18T00:00:00
HD000051,SP1071,3,62000,0,0,62000,186000,2026-05-18T00:00:00
HD000051,SP1017,4,136000,0,0,136000,544000,2026-05-18T00:00:00
HD000051,SP1079,4,206000,0,0,206000,824000,2026-05-18T00:00:00
HD000051,SP1012,1,188000,15,28200,188000,159800,2026-05-18T00:00:00
HD000051,SP1009,1,416000,0,0,416000,416000,2026-05-18T00:00:00
HD000052,SP1099,5,454000,0,0,454000,2270000,2026-04-22T00:00:00
HD000052,SP1017,1,136000,0,0,136000,136000,2026-04-22T00:00:00
HD000052,SP1056,5,336000,0,0,336000,1680000,2026-04-22T00:00:00
HD000053,SP1011,5,434000,0,0,434000,2170000,2026-04-06T00:00:00
HD000053,SP1033,3,172000,0,0,172000,516000,2026-04-06T00:00:00
HD000053,SP1026,1,272000,0,0,272000,272000,2026-04-06T00:00:00
HD000053,SP1082,2,51000,0,0,51000,102000,2026-04-06T00:00:00
HD000054,SP1073,1,196000,0,0,196000,196000,2026-03-30T00:00:00
HD000054,SP1006,5,173000,0,0,173000,865000,2026-03-30T00:00:00
HD000054,SP1004,2,359000,0,0,359000,718000,2026-03-30T00:00:00
HD000054,SP1011,4,434000,0,0,434000,1736000,2026-03-30T00:00:00
HD000055,SP1062,3,275000,0,0,275000,825000,2026-05-28T00:00:00
HD000055,SP1032,1,222000,0,0,222000,222000,2026-05-28T00:00:00
HD000055,SP1088,4,475000,0,0,475000,1900000,2026-05-28T00:00:00
HD000055,SP1052,2,201000,0,0,201000,402000,2026-05-28T00:00:00
HD000056,SP1098,5,336000,10,168000,336000,1512000,2026-04-22T00:00:00
HD000056,SP1048,4,481000,20,384800,481000,1539200,2026-04-22T00:00:00
HD000056,SP1066,2,94000,5,9400,94000,178600,2026-04-22T00:00:00
HD000057,SP1032,3,222000,0,0,222000,666000,2026-04-27T00:00:00
HD000057,SP1021,2,267000,0,0,267000,534000,2026-04-27T00:00:00
HD000057,SP1042,5,328000,0,0,328000,1640000,2026-04-27T00:00:00
HD000057,SP1074,3,6000,0,0,6000,18000,2026-04-27T00:00:00
HD000057,SP1093,1,119000,0,0,119000,119000,2026-04-27T00:00:00
HD000058,SP1007,4,193000,0,0,193000,772000,2026-04-08T00:00:00
HD000058,SP1037,1,99000,0,0,99000,99000,2026-04-08T00:00:00
HD000058,SP1064,4,343000,15,205800,343000,1166200,2026-04-08T00:00:00
HD000058,SP1077,3,335000,0,0,335000,1005000,2026-04-08T00:00:00
HD000059,SP1047,1,33000,0,0,33000,33000,2026-04-29T00:00:00
HD000059,SP1071,4,62000,0,0,62000,248000,2026-04-29T00:00:00
HD000059,SP1037,3,99000,0,0,99000,297000,2026-04-29T00:00:00
HD000060,SP1051,3,468000,0,0,468000,1404000,2026-05-26T00:00:00
HD000060,SP1048,3,481000,0,0,481000,1443000,2026-05-26T00:00:00
HD000061,SP1006,2,173000,0,0,173000,346000,2026-05-13T00:00:00
HD000061,SP1005,4,406000,0,0,406000,1624000,2026-05-13T00:00:00
HD000062,SP1021,3,267000,0,0,267000,801000,2026-05-13T00:00:00
HD000062,SP1051,5,468000,0,0,468000,2340000,2026-05-13T00:00:00
HD000062,SP1079,5,206000,0,0,206000,1030000,2026-05-13T00:00:00
HD000062,SP1095,5,453000,0,0,453000,2265000,2026-05-13T00:00:00
HD000063,SP1093,5,119000,0,0,119000,595000,2026-03-23T00:00:00
HD000063,SP1089,5,416000,0,0,416000,2080000,2026-03-23T00:00:00
HD000063,SP1081,1,331000,0,0,331000,331000,2026-03-23T00:00:00
HD000063,SP1004,2,359000,0,0,359000,718000,2026-03-23T00:00:00
HD000064,SP1074,1,6000,0,0,6000,6000,2026-04-26T00:00:00
HD000064,SP1090,4,228000,0,0,228000,912000,2026-04-26T00:00:00
HD000065,SP1095,5,453000,0,0,453000,2265000,2026-06-05T00:00:00
HD000065,SP1094,3,169000,0,0,169000,507000,2026-06-05T00:00:00
HD000065,SP1008,4,366000,0,0,366000,1464000,2026-06-05T00:00:00
HD000065,SP1091,3,315000,0,0,315000,945000,2026-06-05T00:00:00
HD000065,SP1018,4,449000,0,0,449000,1796000,2026-06-05T00:00:00
HD000066,SP1079,3,206000,0,0,206000,618000,2026-04-23T00:00:00
HD000066,SP1062,2,275000,0,0,275000,550000,2026-04-23T00:00:00
HD000066,SP1025,3,422000,0,0,422000,1266000,2026-04-23T00:00:00
HD000066,SP1032,2,222000,0,0,222000,444000,2026-04-23T00:00:00
HD000067,SP1051,1,468000,0,0,468000,468000,2026-04-13T00:00:00
HD000067,SP1045,1,350000,0,0,350000,350000,2026-04-13T00:00:00
HD000067,SP1099,4,454000,0,0,454000,1816000,2026-04-13T00:00:00
HD000067,SP1019,4,50000,0,0,50000,200000,2026-04-13T00:00:00
HD000067,SP1038,5,236000,0,0,236000,1180000,2026-04-13T00:00:00
HD000068,SP1032,5,222000,0,0,222000,1110000,2026-04-12T00:00:00
HD000068,SP1007,2,193000,20,77200,193000,308800,2026-04-12T00:00:00
HD000068,SP1086,3,113000,0,0,113000,339000,2026-04-12T00:00:00
HD000069,SP1053,4,312000,0,0,312000,1248000,2026-03-26T00:00:00
HD000069,SP1084,3,210000,0,0,210000,630000,2026-03-26T00:00:00
HD000069,SP1061,1,278000,0,0,278000,278000,2026-03-26T00:00:00
HD000070,SP1023,2,150000,0,0,150000,300000,2026-05-21T00:00:00
HD000070,SP1054,1,255000,0,0,255000,255000,2026-05-21T00:00:00
HD000071,SP1005,5,406000,15,304500,406000,1725500,2026-05-11T00:00:00
HD000071,SP1002,3,340000,0,0,340000,1020000,2026-05-11T00:00:00
HD000071,SP1039,5,204000,0,0,204000,1020000,2026-05-11T00:00:00
HD000071,SP1073,2,196000,0,0,196000,392000,2026-05-11T00:00:00
HD000072,SP1021,3,267000,0,0,267000,801000,2026-04-02T00:00:00
HD000072,SP1094,1,169000,0,0,169000,169000,2026-04-02T00:00:00
HD000072,SP1059,3,129000,0,0,129000,387000,2026-04-02T00:00:00
HD000072,SP1083,2,17000,0,0,17000,34000,2026-04-02T00:00:00
HD000073,SP1012,2,188000,0,0,188000,376000,2026-04-29T00:00:00
HD000073,SP1052,4,201000,0,0,201000,804000,2026-04-29T00:00:00
HD000073,SP1086,2,113000,20,45200,113000,180800,2026-04-29T00:00:00
HD000073,SP1013,2,307000,0,0,307000,614000,2026-04-29T00:00:00
HD000074,SP1034,3,40000,0,0,40000,120000,2026-04-20T00:00:00
HD000074,SP1084,1,210000,0,0,210000,210000,2026-04-20T00:00:00
HD000075,SP1089,3,416000,0,0,416000,1248000,2026-05-12T00:00:00
HD000075,SP1016,2,110000,0,0,110000,220000,2026-05-12T00:00:00
HD000075,SP1082,4,51000,0,0,51000,204000,2026-05-12T00:00:00
HD000075,SP1038,5,236000,0,0,236000,1180000,2026-05-12T00:00:00
HD000076,SP1098,5,336000,0,0,336000,1680000,2026-05-08T00:00:00
HD000076,SP1032,1,222000,0,0,222000,222000,2026-05-08T00:00:00
HD000076,SP1088,5,475000,0,0,475000,2375000,2026-05-08T00:00:00
HD000077,SP1074,2,6000,0,0,6000,12000,2026-05-20T00:00:00
HD000077,SP1069,5,332000,0,0,332000,1660000,2026-05-20T00:00:00
HD000077,SP1020,2,397000,0,0,397000,794000,2026-05-20T00:00:00
HD000078,SP1059,5,129000,0,0,129000,645000,2026-05-13T00:00:00
HD000078,SP1017,5,136000,20,136000,136000,544000,2026-05-13T00:00:00
HD000079,SP1033,1,172000,15,25800,172000,146200,2026-04-17T00:00:00
HD000079,SP1001,1,17000,0,0,17000,17000,2026-04-17T00:00:00
HD000079,SP1096,1,241000,0,0,241000,241000,2026-04-17T00:00:00
HD000079,SP1028,1,124000,0,0,124000,124000,2026-04-17T00:00:00
HD000079,SP1075,4,185000,20,148000,185000,592000,2026-04-17T00:00:00
HD000080,SP1048,5,481000,15,360750,481000,2044250,2026-03-26T00:00:00
HD000080,SP1049,1,339000,0,0,339000,339000,2026-03-26T00:00:00
HD000080,SP1058,5,304000,0,0,304000,1520000,2026-03-26T00:00:00
HD000080,SP1011,2,434000,0,0,434000,868000,2026-03-26T00:00:00
HD000080,SP1088,2,475000,0,0,475000,950000,2026-03-26T00:00:00
HD000081,SP1069,3,332000,0,0,332000,996000,2026-04-16T00:00:00
HD000081,SP1049,2,339000,0,0,339000,678000,2026-04-16T00:00:00
HD000081,SP1030,1,474000,20,94800,474000,379200,2026-04-16T00:00:00
HD000081,SP1032,5,222000,0,0,222000,1110000,2026-04-16T00:00:00
HD000081,SP1059,1,129000,0,0,129000,129000,2026-04-16T00:00:00
HD000082,SP1032,1,222000,0,0,222000,222000,2026-05-24T00:00:00
HD000082,SP1095,2,453000,0,0,453000,906000,2026-05-24T00:00:00
HD000083,SP1030,5,474000,0,0,474000,2370000,2026-03-16T00:00:00
HD000083,SP1094,3,169000,0,0,169000,507000,2026-03-16T00:00:00
HD000083,SP1074,2,6000,0,0,6000,12000,2026-03-16T00:00:00
HD000083,SP1041,5,129000,0,0,129000,645000,2026-03-16T00:00:00
HD000084,SP1081,5,331000,0,0,331000,1655000,2026-03-16T00:00:00
HD000084,SP1087,3,231000,0,0,231000,693000,2026-03-16T00:00:00
HD000084,SP1055,4,146000,0,0,146000,584000,2026-03-16T00:00:00
HD000085,SP1049,4,339000,0,0,339000,1356000,2026-05-01T00:00:00
HD000085,SP1024,2,486000,0,0,486000,972000,2026-05-01T00:00:00
HD000085,SP1097,2,247000,0,0,247000,494000,2026-05-01T00:00:00
HD000085,SP1069,1,332000,0,0,332000,332000,2026-05-01T00:00:00
HD000086,SP1032,1,222000,0,0,222000,222000,2026-05-19T00:00:00
HD000086,SP1033,3,172000,10,51600,172000,464400,2026-05-19T00:00:00
HD000086,SP1027,1,15000,0,0,15000,15000,2026-05-19T00:00:00
HD000086,SP1043,5,206000,0,0,206000,1030000,2026-05-19T00:00:00
HD000086,SP1083,1,17000,0,0,17000,17000,2026-05-19T00:00:00
HD000087,SP1027,2,15000,0,0,15000,30000,2026-06-02T00:00:00
HD000087,SP1043,1,206000,0,0,206000,206000,2026-06-02T00:00:00
HD000087,SP1039,4,204000,0,0,204000,816000,2026-06-02T00:00:00
HD000087,SP1002,5,340000,0,0,340000,1700000,2026-06-02T00:00:00
HD000087,SP1028,4,124000,0,0,124000,496000,2026-06-02T00:00:00
HD000088,SP1040,4,99000,0,0,99000,396000,2026-04-14T00:00:00
HD000088,SP1034,4,40000,0,0,40000,160000,2026-04-14T00:00:00
HD000088,SP1047,3,33000,0,0,33000,99000,2026-04-14T00:00:00
HD000088,SP1066,3,94000,0,0,94000,282000,2026-04-14T00:00:00
HD000089,SP1034,5,40000,0,0,40000,200000,2026-04-06T00:00:00
HD000089,SP1071,4,62000,0,0,62000,248000,2026-04-06T00:00:00
HD000090,SP1064,3,343000,0,0,343000,1029000,2026-04-07T00:00:00
HD000090,SP1071,4,62000,0,0,62000,248000,2026-04-07T00:00:00
HD000090,SP1084,4,210000,0,0,210000,840000,2026-04-07T00:00:00
HD000091,SP1024,1,486000,0,0,486000,486000,2026-04-23T00:00:00
HD000091,SP1070,1,323000,0,0,323000,323000,2026-04-23T00:00:00
HD000091,SP1083,1,17000,0,0,17000,17000,2026-04-23T00:00:00
HD000091,SP1008,4,366000,10,146400,366000,1317600,2026-04-23T00:00:00
HD000091,SP1068,1,104000,0,0,104000,104000,2026-04-23T00:00:00
HD000092,SP1080,5,235000,0,0,235000,1175000,2026-05-12T00:00:00
HD000092,SP1082,4,51000,20,40800,51000,163200,2026-05-12T00:00:00
HD000093,SP1003,4,51000,0,0,51000,204000,2026-05-15T00:00:00
HD000093,SP1065,2,463000,5,46300,463000,879700,2026-05-15T00:00:00
HD000093,SP1090,5,228000,10,114000,228000,1026000,2026-05-15T00:00:00
HD000093,SP1087,5,231000,0,0,231000,1155000,2026-05-15T00:00:00
HD000094,SP1059,3,129000,0,0,129000,387000,2026-03-19T00:00:00
HD000094,SP1073,1,196000,0,0,196000,196000,2026-03-19T00:00:00
HD000094,SP1032,1,222000,20,44400,222000,177600,2026-03-19T00:00:00
HD000094,SP1090,4,228000,0,0,228000,912000,2026-03-19T00:00:00
HD000094,SP1029,1,409000,0,0,409000,409000,2026-03-19T00:00:00
HD000095,SP1083,1,17000,0,0,17000,17000,2026-03-19T00:00:00
HD000095,SP1043,5,206000,0,0,206000,1030000,2026-03-19T00:00:00
HD000095,SP1073,1,196000,0,0,196000,196000,2026-03-19T00:00:00
HD000095,SP1013,3,307000,0,0,307000,921000,2026-03-19T00:00:00
HD000095,SP1068,5,104000,0,0,104000,520000,2026-03-19T00:00:00
HD000096,SP1097,1,247000,0,0,247000,247000,2026-04-18T00:00:00
HD000096,SP1092,5,139000,0,0,139000,695000,2026-04-18T00:00:00
HD000096,SP1051,4,468000,0,0,468000,1872000,2026-04-18T00:00:00
HD000097,SP1089,5,416000,0,0,416000,2080000,2026-04-27T00:00:00
HD000097,SP1093,3,119000,20,71400,119000,285600,2026-04-27T00:00:00
HD000097,SP1011,2,434000,0,0,434000,868000,2026-04-27T00:00:00
HD000098,SP1100,4,72000,0,0,72000,288000,2026-05-26T00:00:00
HD000098,SP1042,3,328000,0,0,328000,984000,2026-05-26T00:00:00
HD000098,SP1004,4,359000,0,0,359000,1436000,2026-05-26T00:00:00
HD000098,SP1082,5,51000,0,0,51000,255000,2026-05-26T00:00:00
HD000098,SP1035,1,260000,0,0,260000,260000,2026-05-26T00:00:00
HD000099,SP1035,4,260000,0,0,260000,1040000,2026-04-09T00:00:00
HD000099,SP1020,2,397000,0,0,397000,794000,2026-04-09T00:00:00
HD000100,SP1047,1,33000,0,0,33000,33000,2026-03-22T00:00:00
HD000100,SP1098,4,336000,0,0,336000,1344000,2026-03-22T00:00:00
HD000100,SP1035,5,260000,0,0,260000,1300000,2026-03-22T00:00:00
HD000100,SP1014,1,193000,5,9650,193000,183350,2026-03-22T00:00:00
HD000100,SP1017,5,136000,0,0,136000,680000,2026-03-22T00:00:00
HD000101,SP1050,2,312000,0,0,312000,624000,2026-04-27T00:00:00
HD000101,SP1100,2,72000,0,0,72000,144000,2026-04-27T00:00:00
HD000101,SP1011,2,434000,15,130200,434000,737800,2026-04-27T00:00:00
HD000101,SP1093,3,119000,0,0,119000,357000,2026-04-27T00:00:00
HD000101,SP1072,1,300000,0,0,300000,300000,2026-04-27T00:00:00
HD000102,SP1047,2,33000,0,0,33000,66000,2026-04-16T00:00:00
HD000102,SP1033,4,172000,0,0,172000,688000,2026-04-16T00:00:00
HD000103,SP1043,5,206000,15,154500,206000,875500,2026-03-22T00:00:00
HD000103,SP1080,5,235000,0,0,235000,1175000,2026-03-22T00:00:00
HD000103,SP1049,2,339000,0,0,339000,678000,2026-03-22T00:00:00
HD000103,SP1057,2,136000,0,0,136000,272000,2026-03-22T00:00:00
HD000103,SP1056,3,336000,0,0,336000,1008000,2026-03-22T00:00:00
HD000104,SP1051,2,468000,0,0,468000,936000,2026-04-09T00:00:00
HD000104,SP1047,5,33000,0,0,33000,165000,2026-04-09T00:00:00
