ma_hang,ten_hang,thuong_hieu,loai_hang,nhom_hang,gia_ban,gia_von,ton_kho,ma_vach,don_vi_tinh,quy_doi,trang_thai,thoi_gian_tao
SP1036,Cà phê có,Coca,Hàng hóa,Đồ uống >> Cà phê,270712,123151,138,,Cái,1,1,2026-06-08T09:22:13.622406
SP1037,Nước ngọt một,Vissan,Hàng hóa,Đồ uống >> Nước ngọt,466779,136767,72,,Cái,1,1,2026-06-08T09:22:13.622406
SP1038,Nước trái cây với,Acecook,Hàng hóa,Đồ uống >> Nước trái cây,142330,304648,145,,Cái,1,1,2026-06-08T09:22:13.622406
SP1039,Trà như,Nestlé,Hàng hóa,Đồ uống >> Trà,19986,64858,42,,Cái,1,1,2026-06-08T09:22:13.622406
SP1040,Cà phê nào,Pepsi,Hàng hóa,Đồ uống >> Cà phê,18666,303804,50,,Cái,1,1,2026-06-08T09:22:13.622406
SP1041,Thịt với,Acecook,Hàng hóa,Thực phẩm tươi >> Thịt,189323,287806,81,,Cái,1,1,2026-06-08T09:22:13.622406
SP1042,Cá cái,Vinamilk,Hàng hóa,Thực phẩm tươi >> Cá,477819,317400,57,,Cái,1,1,2026-06-08T09:22:13.622406
SP1043,Rau xanh bên,Vinamilk,Hàng hóa,Thực phẩm tươi >> Rau xanh,395622,300366,71,,Cái,1,1,2026-06-08T09:22:13.622406
SP1044,Trái cây cái,Unilever,Hàng hóa,Thực phẩm tươi >> Trái cây,478791,126684,108,,Cái,1,1,2026-06-08T09:22:13.622406
SP1045,Thịt có,Coca,Hàng hóa,Thực phẩm tươi >> Thịt,483867,276109,44,,Cái,1,1,2026-06-08T09:22:13.622406
SP1046,Cá bên,Staff,Hàng hóa,Thực phẩm tươi >> Cá,207664,142182,140,,Cái,1,1,2026-06-08T09:22:13.623403
SP1047,Rau xanh cái,Acecook,Hàng hóa,Thực phẩm tươi >> Rau xanh,190064,217020,151,,Cái,1,1,2026-06-08T09:22:13.623403
SP1048,Trái cây từ,Unilever,Hàng hóa,Thực phẩm tươi >> Trái cây,96982,124626,146,,Cái,1,1,2026-06-08T09:22:13.623403
SP1049,Thịt từ,Vissan,Hàng hóa,Thực phẩm tươi >> Thịt,399422,221126,99,,Cái,1,1,2026-06-08T09:22:13.623403
SP1050,Cá có,Vissan,Hàng hóa,Thực phẩm tươi >> Cá,128409,26419,188,,Cái,1,1,2026-06-08T09:22:13.623403
SP1051,Rau xanh bên,Lipton,Hàng hóa,Thực phẩm tươi >> Rau xanh,251310,53015,61,,Cái,1,1,2026-06-08T09:22:13.623403
SP1052,Trái cây với,Pepsi,Hàng hóa,Thực phẩm tươi >> Trái cây,191340,113687,141,,Cái,1,1,2026-06-08T09:22:13.623403
SP1053,Thịt một,Unilever,Hàng hóa,Thực phẩm tươi >> Thịt,417357,214428,160,,Cái,1,1,2026-06-08T09:22:13.623403
SP1054,Cá một,Unilever,Hàng hóa,Thực phẩm tươi >> Cá,208982,201286,180,,Cái,1,1,2026-06-08T09:22:13.623403
SP1055,Rau xanh cái,Acecook,Hàng hóa,Thực phẩm tươi >> Rau xanh,256396,167899,22,,Cái,1,1,2026-06-08T09:22:13.623403
SP1056,Trái cây như,Lipton,Hàng hóa,Thực phẩm tươi >> Trái cây,330767,340594,95,,Cái,1,1,2026-06-08T09:22:13.623403
SP1057,Thịt từ,Coca,Hàng hóa,Thực phẩm tươi >> Thịt,421515,46585,179,,Cái,1,1,2026-06-08T09:22:13.623403
SP1058,Cá trong,Coca,Hàng hóa,Thực phẩm tươi >> Cá,70044,112556,143,,Cái,1,1,2026-06-08T09:22:13.623403
SP1059,Rau xanh như,Vissan,Hàng hóa,Thực phẩm tươi >> Rau xanh,494219,246307,53,,Cái,1,1,2026-06-08T09:22:13.623403
SP1060,Trái cây nào,Staff,Hàng hóa,Thực phẩm tươi >> Trái cây,31939,155906,137,,Cái,1,1,2026-06-08T09:22:13.623403
SP1061,Muối tại,Unilever,Hàng hóa,Gia vị >> Muối,294249,78766,101,,Cái,1,1,2026-06-08T09:22:13.623403
SP1062,Đường nào,Staff,Hàng hóa,Gia vị >> Đường,421192,47262,199,,Cái,1,1,2026-06-08T09:22:13.623403
SP1063,Hạt nêm từ,Lipton,Hàng hóa,Gia vị >> Hạt nêm,291920,164152,130,,Cái,1,1,2026-06-08T09:22:13.623403
SP1064,Dầu ăn có,Lipton,Hàng hóa,Gia vị >> Dầu ăn,466058,140848,125,,Cái,1,1,2026-06-08T09:22:13.623403
SP1065,Muối trong,Coca,Hàng hóa,Gia vị >> Muối,133948,58016,12,,Cái,1,1,2026-06-08T09:22:13.623403
SP1066,Đường với,Pepsi,Hàng hóa,Gia vị >> Đường,457269,24959,164,,Cái,1,1,2026-06-08T09:22:13.623403
SP1067,Hạt nêm cái,Coca,Hàng hóa,Gia vị >> Hạt nêm,231928,268892,60,,Cái,1,1,2026-06-08T09:22:13.623403
SP1068,Dầu ăn có,Unilever,Hàng hóa,Gia vị >> Dầu ăn,19545,168838,68,,Cái,1,1,2026-06-08T09:22:13.623403
SP1069,Muối như,Nestlé,Hàng hóa,Gia vị >> Muối,361701,64087,105,,Cái,1,1,2026-06-08T09:22:13.623403
SP1070,Đường trong,Pepsi,Hàng hóa,Gia vị >> Đường,74840,121451,122,,Cái,1,1,2026-06-08T09:22:13.623403
SP1071,Hạt nêm với,Vissan,Hàng hóa,Gia vị >> Hạt nêm,319149,42353,61,,Cái,1,1,2026-06-08T09:22:13.624402
SP1072,Dầu ăn với,Coca,Hàng hóa,Gia vị >> Dầu ăn,220283,317877,48,,Cái,1,1,2026-06-08T09:22:13.624402
SP1073,Muối có,Lipton,Hàng hóa,Gia vị >> Muối,247025,70172,122,,Cái,1,1,2026-06-08T09:22:13.624402
SP1074,Đường một,Acecook,Hàng hóa,Gia vị >> Đường,262951,96264,196,,Cái,1,1,2026-06-08T09:22:13.624402
SP1075,Hạt nêm như,Knorr,Hàng hóa,Gia vị >> Hạt nêm,294880,228281,139,,Cái,1,1,2026-06-08T09:22:13.624402
SP1076,Dầu ăn như,Lipton,Hàng hóa,Gia vị >> Dầu ăn,118859,272536,138,,Cái,1,1,2026-06-08T09:22:13.624402
SP1077,Muối với,Vinamilk,Hàng hóa,Gia vị >> Muối,263426,180789,139,,Cái,1,1,2026-06-08T09:22:13.624402
SP1078,Đường một,Knorr,Hàng hóa,Gia vị >> Đường,224164,316003,169,,Cái,1,1,2026-06-08T09:22:13.624402
SP1079,Hạt nêm từ,Vinamilk,Hàng hóa,Gia vị >> Hạt nêm,163381,197806,77,,Cái,1,1,2026-06-08T09:22:13.624402
SP1080,Dầu ăn tại,Knorr,Hàng hóa,Gia vị >> Dầu ăn,189734,101506,193,,Cái,1,1,2026-06-08T09:22:13.624402
SP1081,Cơm hộp có,Acecook,Hàng hóa,Đồ ăn liền >> Cơm hộp,387050,290486,47,,Cái,1,1,2026-06-08T09:22:13.624402
SP1082,Mì ăn liền trong,Acecook,Hàng hóa,Đồ ăn liền >> Mì ăn liền,467079,109081,148,,Cái,1,1,2026-06-08T09:22:13.624402
SP1083,Xúc xích một,Coca,Hàng hóa,Đồ ăn liền >> Xúc xích,116078,345767,153,,Cái,1,1,2026-06-08T09:22:13.624402
SP1084,Thịt đóng hộp tại,Nestlé,Hàng hóa,Đồ ăn liền >> Thịt đóng hộp,424400,89202,79,,Cái,1,1,2026-06-08T09:22:13.624402
SP1085,Cơm hộp tại,Lipton,Hàng hóa,Đồ ăn liền >> Cơm hộp,57663,18708,12,,Cái,1,1,2026-06-08T09:22:13.624402
SP1086,Mì ăn liền như,Vissan,Hàng hóa,Đồ ăn liền >> Mì ăn liền,317955,136883,196,,Cái,1,1,2026-06-08T09:22:13.624402
SP1087,Xúc xích từ,Lipton,Hàng hóa,Đồ ăn liền >> Xúc xích,118547,37754,156,,Cái,1,1,2026-06-08T09:22:13.624402
SP1088,Thịt đóng hộp như,Pepsi,Hàng hóa,Đồ ăn liền >> Thịt đóng hộp,148483,136983,61,,Cái,1,1,2026-06-08T09:22:13.624402
SP1089,Cơm hộp với,Staff,Hàng hóa,Đồ ăn liền >> Cơm hộp,407896,87896,177,,Cái,1,1,2026-06-08T09:22:13.624402
SP1090,Mì ăn liền nào,Acecook,Hàng hóa,Đồ ăn liền >> Mì ăn liền,77295,222686,91,,Cái,1,1,2026-06-08T09:22:13.624402
SP1091,Xúc xích với,Acecook,Hàng hóa,Đồ ăn liền >> Xúc xích,279255,302648,20,,Cái,1,1,2026-06-08T09:22:13.624402
SP1092,Thịt đóng hộp có,Unilever,Hàng hóa,Đồ ăn liền >> Thịt đóng hộp,14155,304528,187,,Cái,1,1,2026-06-08T09:22:13.625407
SP1093,Cơm hộp cái,Nestlé,Hàng hóa,Đồ ăn liền >> Cơm hộp,53254,287062,51,,Cái,1,1,2026-06-08T09:22:13.625407
SP1094,Mì ăn liền với,Nestlé,Hàng hóa,Đồ ăn liền >> Mì ăn liền,36306,150718,153,,Cái,1,1,2026-06-08T09:22:13.625407
SP1095,Xúc xích tại,Acecook,Hàng hóa,Đồ ăn liền >> Xúc xích,364745,110512,69,,Cái,1,1,2026-06-08T09:22:13.625407
SP1096,Thịt đóng hộp bên,Coca,Hàng hóa,Đồ ăn liền >> Thịt đóng hộp,379616,136121,138,,Cái,1,1,2026-06-08T09:22:13.625407
SP1097,Cơm hộp cái,Vinamilk,Hàng hóa,Đồ ăn liền >> Cơm hộp,371871,286076,46,,Cái,1,1,2026-06-08T09:22:13.625407
SP1098,Mì ăn liền một,Lipton,Hàng hóa,Đồ ăn liền >> Mì ăn liền,297999,195506,18,,Cái,1,1,2026-06-08T09:22:13.625407
SP1099,Xúc xích bên,Staff,Hàng hóa,Đồ ăn liền >> Xúc xích,275544,176714,57,,Cái,1,1,2026-06-08T09:22:13.625407
SP1100,Thịt đóng hộp bên,Vinamilk,Hàng hóa,Đồ ăn liền >> Thịt đóng hộp,450623,69690,157,,Cái,1,1,2026-06-08T09:22:13.625407
